epoch,train_acc,test_acc
1,0.3081761006289308,0.4025000035762787
2,0.4166666666666667,0.6000000238418579
3,0.5990566037735849,0.7037500143051147
4,0.7091194968553459,0.6587499976158142
5,0.7455974842767296,0.8037499785423279
6,0.7908805031446541,0.8025000095367432
7,0.819811320754717,0.8137500286102295
8,0.8292452830188679,0.8125
9,0.839622641509434,0.8149999976158142
10,0.8468553459119497,0.8212500214576721
11,0.8490566037735849,0.8262500166893005
12,0.8493710691823899,0.8187500238418579
13,0.8477987421383648,0.831250011920929
14,0.8515723270440252,0.8187500238418579
15,0.8562893081761006,0.8324999809265137
16,0.8566037735849057,0.8224999904632568
17,0.859748427672956,0.8362500071525574
18,0.8619496855345912,0.8299999833106995
19,0.8559748427672956,0.8337500095367432
20,0.8584905660377359,0.8324999809265137
21,0.8660377358490566,0.831250011920929
22,0.8663522012578616,0.8324999809265137
23,0.8672955974842768,0.8362500071525574
24,0.8650943396226415,0.831250011920929
25,0.8657232704402515,0.8324999809265137
26,0.8710691823899371,0.8362500071525574
27,0.8716981132075472,0.8337500095367432
28,0.8742138364779874,0.8349999785423279
29,0.8713836477987421,0.8287500143051147
30,0.8723270440251573,0.8374999761581421
31,0.8682389937106918,0.8299999833106995
32,0.8751572327044025,0.831250011920929
33,0.8738993710691824,0.8299999833106995
34,0.8679245283018868,0.8324999809265137
35,0.870754716981132,0.8399999737739563
36,0.8716981132075472,0.8274999856948853
37,0.8716981132075472,0.8324999809265137
38,0.8748427672955975,0.8324999809265137
39,0.8754716981132076,0.8262500166893005
40,0.8732704402515723,0.8262500166893005
41,0.8751572327044025,0.8324999809265137
42,0.8757861635220126,0.8299999833106995
43,0.8742138364779874,0.831250011920929
44,0.8789308176100629,0.831250011920929
45,0.8783018867924528,0.8387500047683716
46,0.8735849056603774,0.8299999833106995
47,0.8767295597484277,0.8299999833106995
48,0.8795597484276729,0.8349999785423279
49,0.8783018867924528,0.8362500071525574
50,0.8761006289308176,0.8349999785423279
51,0.8754716981132076,0.8299999833106995
52,0.8817610062893082,0.831250011920929
53,0.8811320754716981,0.8349999785423279
