mode,class_,precision,recall,f1,support
Strict,EMAIL,1.0,1.0,1.0,300
Strict,PHONE,1.0,1.0,1.0,331
Strict,CREDIT_CARD,1.0,1.0,1.0,109
Strict,SSN,1.0,1.0,1.0,113
Strict,DATE,1.0,1.0,1.0,115
Strict,NAME,1.0,1.0,1.0,282
Strict,IP,1.0,1.0,1.0,67
Strict,IPV6,1.0,1.0,1.0,35
Strict,IPV6,1.0,1.0,1.0,35
Partial,EMAIL,1.0,1.0,1.0,300
Partial,PHONE,1.0,1.0,1.0,331
Partial,CREDIT_CARD,1.0,1.0,1.0,109
Partial,SSN,1.0,1.0,1.0,113
Partial,DATE,1.0,1.0,1.0,115
Partial,NAME,1.0,1.0,1.0,282
Partial,IP,1.0,1.0,1.0,67
Partial,IPV6,1.0,1.0,1.0,35
Partial,IPV6,1.0,1.0,1.0,35
LLM,EMAIL,0.9033333333333333,0.9033333333333333,0.9033333333333333,300
LLM,PHONE,0.9817629179331308,0.9758308157099698,0.9787878787878787,331
LLM,CREDIT_CARD,0.9351851851851852,0.926605504587156,0.9308755760368663,109
LLM,SSN,0.990909090909091,0.9646017699115044,0.9775784753363229,113
LLM,DATE,0.9913793103448276,1.0,0.9956709956709957,115
LLM,NAME,0.9368770764119602,1.0,0.967409948542024,282
LLM,IP,0.8082191780821918,0.8805970149253731,0.8428571428571429,67
LLM,IPV6,0.9722222222222222,1.0,0.9859154929577464,35
LLM,IPV6,0.9722222222222222,1.0,0.9859154929577464,35
Strict,MICRO,1.0,1.0,1.0,-1
Partial,MICRO,1.0,1.0,1.0,-1
LLM,MICRO,0.9431900946831755,0.9578402366863905,0.9504587155963303,-1
